Chapter,Question,Answer
Lung Upper Lobectomies,When is CO2 insufflation beneficial during lung upper lobectomy?,"Obesity, a thick chest wall, diaphragm relaxation, incomplete lung exclusion due to air trapping in chronic obstructive pulmonary disease (COPD), or in case of problems with the orotracheal tube, leading to suboptimal exclusion."
Lung Upper Lobectomies,What are the suggested main robotic instruments for Lung Upper Lobectomies?,"30º/0º camera, long bipolar grasper, fenestrated bipolar forceps, tip-up fenestrated grasper, medium-large clip applier."
Lung Upper Lobectomies,What are the suggested main thoracoscopic instruments for Lung Upper Lobectomies?,"Nontraumatic forceps, needle driver, suction device, staplers, and clip applier."
Lung Upper Lobectomies,How should the patient be positioned for a right upper lobectomy?,"The patient is positioned in left lateral decubitus, and then forelimbs are extended frontally and secured over supports to allow access to all intercostal spaces. The operating table is flexed down at the level of the fifth intercostal space to lower the hips; alternatively, a roll can be placed under the chest."
Lung Upper Lobectomies,Which instruments are positioned in each port when using the da Vinci Xi system for a right upper lobectomy?,"The dissection instrument, the long bipolar grasper, is positioned in the utility incision (R1), the camera in port S, the fenestrated bipolar forceps in port R2, and the tip-up fenestrated grasper in port R3."
Lung Upper Lobectomies,What is the first step in a right upper lobectomy?,"The first step of the right upper lobectomy is isolating the right upper pulmonary vein, which is the most anteriorly located element."
Lung Upper Lobectomies,What are the two main vessels that supply the upper lobe in a right upper lobectomy?,"Usually, the upper lobe is supplied by two main vessels: the anterior branch (Boyden’s trunk) located cranially to the right upper vein, and the posterior ascending artery originating within the fissure."
Lung Upper Lobectomies,"In the case of advanced tumors, why is the transfissure approach used to isolate the ascending artery during a right upper lobectomy?","In the case of advanced tumors, a transfissure approach to isolate the ascending artery is preferable because the presence of multiple lymphadenopathies may hinder the anterior approach."
Lung Upper Lobectomies,What is the first step in a left upper lobectomy?,The first step is station 5 (aortopulmonary window) lymph node dissection and preparation of the left upper pulmonary vein.
Lung Lower Lobectomies,What is the recommended port placement for right lower and middle lobectomies?,Incisions can be placed on a lower intercostal space for lower lobectomies.
Lung Lower Lobectomies,Through which port should the stapler be inserted in lower lobectomies?,"In lower lobectomies, the stapler is inserted through the utility incision."
Lung Lower Lobectomies,How is the stapler typically inserted during upper and right middle lobectomies?,"In upper and right middle lobectomies, the stapler is usually inserted through the posterior port (incision R2), using a 12-mm trocar, both for the robotic and thoracoscopic stapler."
Lung Lower Lobectomies,What is the first step in right lower lobectomies?,Preparation of the pulmonary ligament and right lower vein isolation.
Lung Lower Lobectomies,Which mediastinal lymph node stations are commonly resected during right lower lobectomies?,"The removed mediastinal lymph node stations in right lobectomies are 2R, 4R, 7, 8R, and 9R."
Lung Lower Lobectomies,How is the arterial vascularization of the middle lobe structured in lung lobectomies?,Arterial vascularization of the middle lobe usually includes two branches: the medial segmental and the lateral segmental arteries. These vessels can originate separately from the intermediate artery within the fissure or as a common trunk arising in front of the ascending posterior branch of the right upper lobe.
Lung Lower Lobectomies,Which lymph node stations are typically involved in lymphadenectomy during pulmonary ligament preparation in left lower lobectomy?,Lymphadenectomy of stations 8L and 9L is usually performed during pulmonary ligament preparation.
Lung Lower Lobectomies,Which mediastinal lymph node stations are usually removed during left lower lobectomies?,"For left lobectomies, mediastinal lymph node stations no. 5, 6, 7, 8L, and 9L are usually removed."
Lung Lower Lobectomies,What should be avoided during dissection of station 5 in a left lower lobectomy?,"Damage to the left recurrent nerve by improper cauterization during dissection of station 5. The nerve runs in the area, and its damage might cause postoperative dysphonia."
Paraesophageal Hernia Repair,How are hiatal hernias classified?,"The classification of hiatal hernias consists of four types. Type I are sliding hernias, where the gastroesophageal junction migrates above the diaphragm. Type II are pure paraesophageal hernias (PEH), where the gastroesophageal junction remains in its position, but a portion of the fundus herniates through the hiatus parallel to the esophagus. Type III are a combination of the previous two types. Type IV includes the presence of a structure other than the stomach, such as the omentum, colon, or small bowel within the hernia sac."
Paraesophageal Hernia Repair,What are the suggested main robotic instruments for robotic paraesophageal hernia repair?,"30º/0º scope, permanent cautery monopolar hook, Cadière forceps, fenestrated bipolar forceps, two needle drivers, vessel sealer."
Paraesophageal Hernia Repair,What are the relative contraindications for robotic paraesophageal hernia repair?,"Relative contraindications for the robotic approach are specific type IV hernias where multiple organs, such as the tail of the pancreas, the spleen, and the colon, in addition to the stomach, herniate through the diaphragm."
Paraesophageal Hernia Repair,How should the patient be positioned for robotic paraesophageal hernia repair?,"The patient’s bed is positioned in a 30–45° reverse Trendelenburg, with a 10–15° tilt toward the right side. The patient’s legs are parted and protected with intermittent compression devices."
Paraesophageal Hernia Repair,Where should the ports be placed for robotic paraesophageal hernia repair?,"Robotic ports are placed along a straight line, 5 cm above the transverse umbilical line, with the scope positioned at the intersection with the left mammary line. Additionally, two assistant ports (10 and 5 mm) are placed on both sides of the scope."
Paraesophageal Hernia Repair,What is the first step in the robotic repair of paraesophageal hernias?,The first step of robotic repair of paraesophageal hernias is left crus dissection.
Paraesophageal Hernia Repair,Where should dissection be performed during left-sided mediastinal dissection in paraesophageal hernia repair?,Dissection is performed staying preaortic in a plane distant from the position of the left anterior vagal nerve.
Paraesophageal Hernia Repair,How can gastroparesis or dyspeptic symptoms be prevented during right crus dissection in paraesophageal hernia repair?,It is essential to identify and preserve the vascular and neural structures in the lesser curvature of the stomach to prevent the denervation of the stomach and gallbladder that can lead to complications such as gastroparesis or dyspeptic syndromes.
Paraesophageal Hernia Repair,What type of suture should be used for cruroplasty in paraesophageal hernia repair?,"For cruroplasty, you need nonabsorbable sutures of Prolene® 2."
Paraesophageal Hernia Repair,How should the hiatal mesh be designed and fixed in paraesophageal hernia repair?,"The mesh is tailored in a U shape to the hiatus; it is introduced through the 12-mm assistant port and placed adequately around the hiatus. The mesh is fixated with multiple interrupted stitches of Prolene® 3/0 around the pillars, laterally and posteriorly."
Radical Right Colectomy with Complete Mesocolic Excision (CME),What are the three main aspects that play an important role in favor of robotics in radical right colectomy with complete mesocolic excision?,1. The stability of the exposure without the need for changing patient positioning. 2. The role of the third arm in improving the retraction and allowing a lateral to medial approach during the mobilization of the right colon mesentery. 3. The EndoWrist™ that allows better and safer dissection of the superior mesenteric vessel pedicles.
Radical Right Colectomy with Complete Mesocolic Excision (CME),What are the suggested main robotic instruments for robotic radical right colectomy with complete mesocolic excision (CME)?,"30º scope, cautery hook/monopolar scissors, needle drivers (round tip or macro), robotic linear staplers (with different loads), multiple Hem-o-Lok clips, medium/large clip-applier, bipolar forceps, Cadière forceps."
Radical Right Colectomy with Complete Mesocolic Excision (CME),Describe how the patient is placed and how the table is tilted in a Radical Righy Colectomy?,"The patient is placed in a light Trendelenburg position (10–15°), and the table is tilted 20° toward the left side (to favor small bowel retraction)."
Radical Right Colectomy with Complete Mesocolic Excision (CME),What are the best tools for detaching the omentum from the colon and dividing the omentum itself in right colectomy with complete mesocolic excision (CME)?,The best tools for these surgical maneuvers are the monopolar hook (detachment of the omentum from the colon insertion) and the vessel sealer (division of the omentum itself).
Radical Right Colectomy with Complete Mesocolic Excision (CME),What makes possible to have an open-like technique in radical right colectomy with CME?,"Using the robotic approach, the R3 can dynamically lift the cecum/ascending colon, allowing an optimal vision of the surgical field. This makes possible an 'open-like' technique: the dissection is usually started with the mobilization of the mesentery. The detachment of the mesentery of the right colon from the retroperitoneum facilitates, even in thick/obese patients, the identification of the vascular pedicles and of the main superior mesenteric trunks. The dissection starts at the cecal base, moving cranially up to the right flexure, while the R3 is counter retracting the colon medially."
Radical Right Colectomy with Complete Mesocolic Excision (CME),What surgical landmarks must be identified during the detachment of the mesentery of the ascending colon and flexure from the retroperitoneum in radical right colectomy with CME?,"The surgical landmarks and limits that have to be identified are as follows: gonadal vessels, ureter, vena cava (VC), DII, and DIII. Medially, the attachment of the mesentery of the terminal ileum should also be mobilized, and the iliac vessels should be identified."
Radical Right Colectomy with Complete Mesocolic Excision (CME),What surgical landmarks should be identified during the mobilization of the flexure in radical right colectomy with CME?,"The landmarks for this step are as follows: the VC, DII, DIII, and the right venous discharge into the SMV."
Radical Right Colectomy with Complete Mesocolic Excision (CME),"Why is the extended lymphadenectomy referred to as ""complete"" in radical right colectomy with CME?","The extended lymphadenectomy is called complete because the lymph nodes on top and around the SMV, and the lymph nodes around the confluence of the ileocolic vessels into the SMV, are all removed en bloc with the vascular pedicles."
Radical Right Colectomy with Complete Mesocolic Excision (CME),What is the purpose of the near-infrared indocyanine green (ICG) perfusion test in radical right colectomy with CME?,The ICG perfusion test may be used to check the blood supply of the segments selected for the anastomosis.
Left Colectomy,Why is the mobilization of the splenic flexure a critical technical aspect in left colectomy?,"1. It provides a well-perfused, longer, proximal colonic segment, which allows a floppy anastomosis. 2. If the mobilization of the splenic flexure is not performed preventively, and the proximal colon becomes too short, going back for further mobilization of the flexure can be very difficult (mainly if the anastomosis was already done), and the blood flow of the marginal arcade can be compromised. 3. It permits a wider oncological dissection with easier lymphadenectomy. 4. It allows the mastering of a surgical maneuver that, similarly to the Kocher maneuver in hepatopancreatobiliary surgery, can be used in other/different operations (e.g., distal pancreatectomy, splenectomy). Some authors claim potential drawbacks connected to the routine splenic flexure mobilization, such as (1) risk of splenic injuries and (2) extended operative time. However, in expert hands, such occurrences are rare."
Left Colectomy,What are the suggested main robotic instruments for robotic left colectomy?,"30º/0º scope, cautery hook/monopolar scissors, vessel sealer, robotic linear staplers, needle drivers, multiple Hem-o-Lok clips, medium-large clip applier, bipolar forceps, and Cadière forceps/tip-up fenestrated grasper."
Left Colectomy,What is the most common sequence of steps for Phase A in left colectomy?,"Left omentum colic detachment, splenocolic ligament dissection, lateral to medial mobilization, transverse colon mesenteric root detachment from the pancreatic body, and then medial to lateral dissection with IMV division."
Left Colectomy,What are the four possible dissection pathways for mobilizing the left colonic flexure in left colectomy?,"The four pathways are: 1. Lateral to medial dissection. 2. Medial to lateral dissection. 3. Top-down dissection with omental colonic detachment. 4. Top-down approach with opening of the gastrocolic ligament (trans gastrocolic access). If there are adhesions, diverticulitis, or the presence of many diverticula, the omental detachment can be dangerous. In this case, the omentum may be left attached to the colon, and the gastrocolic ligament is divided with an omental flap adherent to the flexure. In this approach, the left colonic flexure is taken down with the omentum attached."
Left Colectomy,Where is the most favorable site to begin lateral-to-medial dissection of the left colonic flexure in left colectomy?,The most favorable point to start the lateral-to-medial dissection is 5–6 cm below the left colonic flexure. This area is where the reflection of the lateral peritoneum on the Gerota’s capsule is more evident.
Left Colectomy,What is the appropriate patient positioning for Phase B of left colectomy?,"The position of the patient is changed from a reverse Trendelenburg to a steep Trendelenburg. The goal is to remove the bowel loops from the pelvis and to expose the aorta to visualize the IMA origin. The degree of surgical table tilting should be the minimum necessary to achieve these goals, reducing the hemodynamic consequences of the Trendelenburg position."
Left Colectomy,Why it is important not to divide the IMA too close to the aorta during a left colectomy?,"1. To avoid damage to the hypogastric plexus (situated on a plane in front of the aorta). 2. If bleeding occurs from the aorta, this is difficult to control."
Left Colectomy,Which two anatomical landmarks guide central lymphadenectomy during Phase B of left colectomy?,It is easy to identify the two vascular landmarks for the central lymphadenectomy: the stumps of IMV and of the IMA.
Left Colectomy,What incision is typically used for specimen extraction in left colectomy?,A Pfannenstiel incision is usually performed (unless there are previous surgical scars that may be used as an access).
Total Mesorectal Excision of Rectal Cancer,What preoperative assessments are required for a patient with pathologically diagnosed rectal cancer?,"The preoperative assessment for pathologically diagnosed rectal cancer consists of pelvic magnetic resonance imaging (MRI), abdominopelvic and chest computed tomography (CT) with or without positron emission tomography (PET), as well as routine laboratory tests. Endoscopic ultrasound (EUS) increases the accuracy of preoperative staging, mainly in early lesions. EUS-guided fine-needle aspiration may be useful in patients with early T-stage and suspicious pelvic lymph nodes."
Total Mesorectal Excision of Rectal Cancer,"Describe how the patient is placed, tilted, and the position of both arms to maximize the working space for the surgical staff for rectal cancer surgery",The patient is placed in the lithotomy position and tilted toward the right side (10–15°) down with thighs below the flat level and knees slightly flexed. Both arms are tucked to the body to prevent shoulder injuries and to maximize the working space for the surgical staff.
Total Mesorectal Excision of Rectal Cancer,What is the port placement strategy for total mesorectal excision using the da Vinci Xi system?,"Port setup is simplified by placing all trocars on a straight line from the left subcostal margin to the right lower quadrant, at an even distance of 6–8 cm from each other. An additional 12-mm laparoscopic port is placed in the right upper abdomen, similar to the previous version."
Total Mesorectal Excision of Rectal Cancer,When should the mobilization of the left colonic flexure be performed during total mesorectal excision?,"The mobilization of the left colonic flexure is always necessary. This step is done at the beginning of the procedure and can be performed laparoscopically with a hybrid technique before carrying out the robotic pelvic dissection, or with a full robotic approach (preferred)."
Total Mesorectal Excision of Rectal Cancer,Which nerves are responsible for the sympathetic innervation in the pelvic region during total mesorectal excision?,"The pelvic autonomic nerves also emerge from the spine and intertwine in front of the aorta to form the preaortic nerve plexus, which leads to the superior hypogastric nerve plexus, which diverts into both sides and becomes the left and right hypogastric nerves, which are responsible for the sympathetic innervation."
Total Mesorectal Excision of Rectal Cancer,What is the first measure to manage an injury to the presacral vein during total mesorectal excision?,"Entering into a deeper space, below the endopelvic fascia, and damaging the presacral veins. These veins can bleed massively and be difficult to control. Compression with a sponge and hemostatic agent is the first measure to adopt in such an event. Bipolar coagulation may be ineffective or cause more bleeding, and suturing with Dacron® pledgets on the periosteum is challenging."
Total Mesorectal Excision of Rectal Cancer,"What technique, developed by Kyungpook National University, is effective for deep posterior rectal dissection in total mesorectal excision, and what are its key features?","A very useful technique developed by Kyungpook National University for deep posterior dissection of the rectum is to use a tip-up fenestrated grasper in R3 to lift up the mesorectum and to provide a clear surgical field between the rectum and sacrum. This maneuver enables the surgeon to use both hands to facilitate fine dissection around the last part of the rectum, even to be able to enter into the intersphincteric space."
Total Mesorectal Excision of Rectal Cancer,What is the port placement and robotic docking for rectal cancer surgery?,"A 4-cm transverse incision is made in the right lower quadrant, and a Uniport™ (Dalim, Korea) containing a 25-mm multichannel SP trocar, a 12-mm assistant port, and two 5-mm assistant ports are introduced. An additional 5-mm assistant port is placed in the right upper quadrant."
Total Mesorectal Excision of Rectal Cancer,How should instruments be positioned when using the SP robotic system for rectal cancer surgery?,"The camera is placed in the down-up mode, and da Vinci SP monopolar curved scissors, SP fenestrated bipolar forceps, and an SP round tooth retractor are engaged into the SP trocar in counterclockwise order. To deploy the robotic instruments in the working space, the tip of the cannula of the SP system should be suspended in the air (floating docking). Therefore, the tip of the cannula, and the abdominal incision, must be taped to seal the abdominal cavity and allow insufflation of CO2 gas via the plastic wound retractor using a Uniport. The assistant is positioned on the right side of the patient, and two ports are used for suctioning and for additional retraction."
Left Adrenalectomy,How does the shape and size of the left adrenal gland compare to the right adrenal gland?,The left adrenal gland has a semilunar shape with a pyramid conformation and is slightly larger compared to the right adrenal gland.
Left Adrenalectomy,What are the robotic instruments used in an adrenalectomy procedure?,"Robotic instruments used in an adrenalectomy procedure are the 30 degrees scope, cautery hook/monopolar curved scissors, bipolar forceps, needle driver, vessel sealer, robotic linear staplers (with different loads), Cadiere/ProGrasp, round tip scissors, and medium/large clip applier."
Left Adrenalectomy,What are the sequential steps for performing a robotic left adrenalectomy?,"Opening the gastrocolic ligament, mobilization of the left colonic flexure, mobilization of the pancreatic body, identification of the left renal and adrenal vein with exposure of the adrenal gland, left adrenal vein ligation, exposure of the upper pole of the kidney with identification of the left renal artery anatomy, detachment of the adrenal gland from the renal artery and upper pole of the left kidney, lifting the adrenal gland and detachment from the aorta and left diaphragmatic pillar, completion of the dissection of the posterolateral plane, specimen extraction."
Left Adrenalectomy,What are the consequences of inadequate mobilization and retraction of the pancreatic body and tail during left adrenalectomy?,"Inadequate mobilization and retraction of the pancreatic body and tail may limit the necessary exposure of the underlying anatomy; furthermore, limited mobilization of the pancreas could also increase the risk of injuries to the gland while trying to retract it."
Left Adrenalectomy,What is the most common variation of the left adrenal vein?,"Most commonly, the left adrenal vein is a single vein that drains directly into the left renal vein in conjunction with the left inferior phrenic vein."
Left Adrenalectomy,What is the landmark to identify the left adrenal gland during a robotic left adrenalectomy?,The main landmark for left adrenalectomy is the left renal vein.
Left Adrenalectomy,"What is the arterial blood supply of the left adrenal gland, and what are the origins of each artery?","The left adrenal gland arterial blood supply consists of the superior suprarenal artery taking its origin from the inferior phrenic artery, the middle adrenal artery that originates from the aorta, and the inferior adrenal arteries originating from the renal artery."
Inguinal Hernia Repair,What robotic instruments are required for robotic inguinal hernia repair?,"Robotic instruments required for robotic inguinal hernia repair are the 30 degrees scope, ProGrasp (TM) forceps/bipolar fenestrated grasper, monopolar cautery hook/monopolar scissors, and the suture cut needle driver."
Inguinal Hernia Repair,What nerves are relevant to the the inguinal region in an inguinal hernia surgery?,"The relevant nerves in the inguinal region are the iliohypogastric, ilioinguinal, genitofemoral, lateral femoral cutaneous, and femoral nerves."
Inguinal Hernia Repair,Which nerves are considered endangered in a laparoscopic inguinal hernia repair?,"The three nerves that are mainly endangered in laparoscopic inguinal hernia repair are the lateral femoral cutaneous nerve, genitofemoral nerve, and the anterior branches of the femoral nerve."
Inguinal Hernia Repair,Which nerves are at risk of injury during an open inguinal hernia repair?,"The three nerves that are mainly endangered in open inguinal hernia repair are the iliohypogastric, ilioinguinal, and the genital branches of the genitofemoral nerve."
Inguinal Hernia Repair,What are the borders of the triangle of doom in inguinal hernia repair?,"The triangle of doom is formed medially by the vas deferens, laterally by the spermatic vessels, and inferiorly by the psoas muscle. It is an important region where the external iliac vessels are located."
Ventral Hernia Repair,What are the main robotic instruments used in ventral hernia repair?,"The main robotic instruments used in ventral hernia repair are the 30 degrees scope, fenestrated bipolar forceps, cautery hook/monopolar scissors, needle holders, round-tip scissors (if not using suture cut needle holder), and cold scissors (if needed for adhesiolysis)."
Ventral Hernia Repair,Where does the rectus abdominis muscle originate in the context of ventral hernia repair?,The rectus abdominis muscle originates from the pubic symphysis and inserts into the costal cartilages of the 5th to 7th ribs.
Ventral Hernia Repair,Which muscles form the fibers that cover the rectus abdominis muscle?,"The external oblique, internal oblique, and transversus abdominis fibers fuse to form the sheath that covers the rectus abdominis."
Ventral Hernia Repair,What is the distance between the arcuate line and the umbilicus in ventral hernia repair?,The arcuate line is located 3-5 cm below the umbilicus.
Ventral Hernia Repair,What is the consequence of leaving a portion of the sac during ventral hernia repair?,The only consequence of leaving a portion of the sac is an increased risk of seromas.
Ventral Hernia Repair,Where does linea semilunaris run  in the context of ventral hernia repair?,The linea semilunaris runs along the lateral edges of the rectus abdominis muscle and extends from the 9th costal cartilage to the pubic tubercle.
Ivor Lewis Esophagectomy,What are the key instruments required for performing a robotic Ivor-Lewis esophagectomy?,"The suggested main robotic instruments/tools include: 30 or 0 degrees scope, tip-up fenestrated grasper/Cadiere forceps, Maryland bipolar forceps, monopolar curved scissors, needle drivers, vessel sealer, SureForm (TM) Robotic Stapler (green, white, and blue cartridges), bipolar forceps, and clip applier."
Ivor Lewis Esophagectomy,What are the indications and contraindications for using the robotic approach in Ivor-Lewis esophagectomy?,"The robotic Ivor-Lewis is commonly used for patients with resectable malignancies of the distal esophagus, specifically for Siewert tumors type I and II. A history of gastric resection or previous open chest surgery is generally considered a relative contraindication to the minimally invasive approach."
Ivor Lewis Esophagectomy,What is the patient positioning and port setup during the abdominal phase of the robotic Ivor-Lewis esophagectomy?,The patient is placed in a supine position with the legs apart and a 30 degrees reverse Trendelenburg position. The robot is positioned on the right side of the patient. Three 8-mm robotic cannulas and a 12-mm robotic port (R2) are placed along a straight line in the upper quadrants. Two laparoscopic assistant ports (12 mm and 5 mm) are placed on both sides of the scope at a lower level. The robot is docked and targeted toward the esophageal hiatus for the procedure.
Ivor Lewis Esophagectomy,What role does the Penrose drain play during the abdominal phase of Ivor Lewis esophagectomy?,"The Penrose drain is used to help retract the distal esophagus during the transhiatal dissection, facilitating circumferential dissection into the mediastinum."
Ivor Lewis Esophagectomy,What is the typical duration for the preliminary dissection of the hiatus in Ivor Lewis esophagectomy?,The average time frame for the preliminary dissection of the hiatus is 15-20 minutes.
Ivor Lewis Esophagectomy,What is the recommended technique for dissecting the short gastric vessels during Ivor Lewis esophagectomy?,The short gastric vessels are dissected a few centimeters away from the greater curvature to avoid injury to the right gastroepiploic artery and the gastroepiploic arcade.
Ivor Lewis Esophagectomy,How is gastric the conduit created during the Gastric conduit creation and transhiatal mediastinum dissection completion in the Ivor Lewis esophagectomy?,"A 4-5 cm wide gastric conduit is created by sequential sections toward the gastric fundus, with the stapling technique ensuring the staple line is as straight as possible."
Ivor Lewis Esophagectomy,Why is indocyanine green (ICG) fluorescence important during gastric conduit creation in Ivor Lewis esophagectomy?,ICG fluorescence is used to assess the adequate perfusion of the conduit before completing the transection.
Ivor Lewis Esophagectomy,"What is the purpose of the 30 degrees and 0 degrees scopes during the abdominal phase of robotic Ivor-Lewis esophagectomy, and when is each used?","The 30 degrees scope is primarily used during most of the operation for enhanced visualization. However, during the transhiatal mediastinal dissection, the 0 degrees scope is preferred because it improves visualization in the narrow operative field, functioning better in the long tunnel-like space between the esophagus and the mediastinum."
